gender,age,marital_status,highest_qualification,nationality,ethnicity,region,avg_salary,smoke
Male,89,Widowed,No Qualification,British,White,The North,7800.0,No
Female,64,Married,No Qualification,British,White,The North,3900.0,No
Female,76,Married,No Qualification,English,White,The North,1300.0,No
Female,76,Married,No Qualification,English,White,The North,1300.0,No
Female,61,Married,No Qualification,English,White,The North,3900.0,No
Female,81,Widowed,GCSE/O Level,English,White,The North,7800.0,No
Female,20,Single,No Qualification,British,White,The North,3900.0,Yes
Female,82,Widowed,No Qualification,English,White,The North,7800.0,No
Female,23,Single,GCSE/O Level,British,White,The North,7800.0,Yes
Male,41,Married,GCSE/O Level,English,White,The North,18200.0,No
Female,31,Single,A Levels,British,White,The North,18200.0,No
Female,44,Married,A Levels,English,White,The North,24700.0,Yes
Female,42,Married,Degree,Scottish,White,The North,13000.0,No
Male,67,Widowed,No Qualification,British,White,The North,7800.0,Yes
Male,53,Married,Degree,English,White,The North,24700.0,No
Male,76,Married,No Qualification,English,Black,The North,13000.0,No
Male,40,Married,Other/Sub Degree,English,White,The North,3900.0,Yes
Male,44,Married,A Levels,British,White,The North,18200.0,No
Female,31,Separated,GCSE/O Level,British,White,The North,18200.0,Yes
Male,43,Divorced,Other/Sub Degree,English,White,The North,3900.0,Yes
Female,36,Separated,A Levels,British,White,The North,13000.0,No
Female,34,Divorced,GCSE/O Level,British,White,The North,13000.0,No
Female,18,Single,GCSE/O Level,English,White,The North,3900.0,Yes
Male,56,Married,No Qualification,English,White,The North,7800.0,No
Female,73,Married,No Qualification,British,White,The North,1300.0,No
Female,22,Single,GCSE/CSE,English,White,The North,3900.0,Yes
Female,33,Single,GCSE/CSE,English,White,The North,18200.0,No
Male,27,Single,ONC/BTEC,British,White,The North,18200.0,Yes
Female,33,Married,GCSE/O Level,British,White,The North,13000.0,No
Female,63,Married,No Qualification,English,White,The North,1300.0,No
Female,64,Married,A Levels,British,White,The North,3900.0,No
Male,54,Married,Degree,British,White,The North,18200.0,No
Female,34,Married,Degree,English,White,The North,1300.0,No
Male,78,Married,No Qualification,English,White,The North,13000.0,No
Female,54,Married,No Qualification,British,White,The North,1300.0,No
Male,56,Separated,GCSE/CSE,English,White,The North,32500.0,No
Male,78,Widowed,No Qualification,English,White,The North,3900.0,No
Female,37,Married,A Levels,British,White,The North,7800.0,No
Male,54,Married,Degree,British,White,The North,32500.0,No
Female,40,Married,GCSE/O Level,British,White,The North,24700.0,Yes
Female,64,Divorced,No Qualification,English,White,The North,3900.0,No
Female,42,Married,GCSE/O Level,Other,White,The North,7800.0,No
Female,34,Married,Higher/Sub Degree,British,White,The North,3900.0,No
Female,64,Married,No Qualification,English,White,The North,1300.0,No
Female,50,Divorced,Other/Sub Degree,English,White,The North,18200.0,No
Female,31,Married,ONC/BTEC,English,White,The North,13000.0,No
Female,37,Married,Degree,English,White,The North,18200.0,No
Male,81,Married,Degree,English,White,The North,13000.0,No
Male,57,Separated,No Qualification,Welsh,White,The North,7800.0,Yes
Female,59,Married,Higher/Sub Degree,English,White,The North,3900.0,No
Male,66,Married,Degree,English,White,The North,24700.0,No
Male,57,Married,No Qualification,English,White,The North,24700.0,No
Female,78,Widowed,No Qualification,English,White,The North,7800.0,No
Male,49,Married,Degree,English,White,The North,24700.0,No
Female,62,Married,GCSE/O Level,English,White,The North,18200.0,No
Female,17,Single,GCSE/CSE,English,White,The North,3900.0,No
Female,36,Single,GCSE/O Level,English,White,The North,18200.0,No
Female,31,Single,No Qualification,English,White,The North,0.0,Yes
Female,61,Married,Higher/Sub Degree,English,White,The North,18200.0,Yes
Male,71,Widowed,No Qualification,English,White,The North,18200.0,Yes
Female,75,Widowed,No Qualification,English,White,The North,7800.0,Yes
Female,43,Married,Higher/Sub Degree,English,White,The North,18200.0,No
Female,68,Widowed,No Qualification,English,White,The North,0.0,No
Female,65,Widowed,Degree,English,White,The North,18200.0,No
Female,85,Widowed,No Qualification,British,White,The North,7800.0,No
Female,35,Separated,GCSE/O Level,English,White,The North,7800.0,Yes
Female,52,Married,Higher/Sub Degree,British,White,The North,18200.0,No
Female,28,Single,ONC/BTEC,English,White,The North,7800.0,Yes
Male,52,Single,ONC/BTEC,English,White,The North,24700.0,No
Male,67,Widowed,No Qualification,Irish,White,The North,7800.0,Yes
Female,35,Divorced,No Qualification,English,White,The North,7800.0,Yes
Female,68,Married,No Qualification,English,White,The North,3900.0,No
Female,34,Married,Higher/Sub Degree,Other,White,The North,13000.0,No
Female,57,Divorced,No Qualification,British,White,The North,3900.0,Yes
Male,37,Married,Higher/Sub Degree,English,White,The North,18200.0,Yes
Female,37,Divorced,No Qualification,English,White,The North,7800.0,Yes
Male,43,Divorced,No Qualification,British,White,The North,13000.0,Yes
Male,59,Widowed,GCSE/O Level,British,White,The North,3900.0,No
Female,28,Single,Degree,Scottish,White,The North,13000.0,No
Female,60,Married,No Qualification,English,White,The North,7800.0,No
Male,16,Single,GCSE/O Level,British,White,The North,1300.0,No
Male,37,Single,No Qualification,British,White,The North,3900.0,Yes
Male,34,Married,No Qualification,English,White,The North,18200.0,No
Female,73,Married,No Qualification,British,White,The North,7800.0,No
Male,24,Single,GCSE/O Level,English,White,The North,13000.0,No
Female,36,Single,Higher/Sub Degree,British,White,The North,18200.0,No
Male,39,Separated,GCSE/O Level,British,White,The North,13000.0,Yes
Female,74,Married,No Qualification,English,White,The North,0.0,No
Female,32,Married,GCSE/CSE,English,White,The North,1300.0,Yes
Female,30,Married,Degree,Other,White,The North,18200.0,No
Female,68,Married,GCSE/O Level,English,White,The North,18200.0,No
Female,49,Married,No Qualification,Refused,Refused,The North,0.0,No
Female,47,Married,Higher/Sub Degree,English,White,The North,3900.0,No
Male,30,Single,Higher/Sub Degree,British,White,The North,13000.0,Yes
Male,60,Divorced,No Qualification,English,White,The North,13000.0,Yes
Male,72,Single,Other/Sub Degree,English,White,The North,18200.0,No
Male,73,Married,Degree,English,White,The North,13000.0,No
Female,48,Widowed,GCSE/O Level,English,White,The North,13000.0,Yes
Male,53,Divorced,Degree,English,White,The North,18200.0,No
Male,17,Single,GCSE/O Level,English,White,The North,0.0,No
Female,58,Married,GCSE/O Level,English,White,The North,7800.0,No
Female,34,Married,ONC/BTEC,English,White,The North,13000.0,No
Male,44,Single,GCSE/O Level,British,White,The North,18200.0,No
Male,23,Single,No Qualification,English,White,The North,7800.0,No
Male,49,Married,Degree,British,White,The North,24700.0,No
Male,30,Married,Degree,British,White,The North,18200.0,No
Female,61,Widowed,GCSE/O Level,English,White,The North,7800.0,No
Male,38,Separated,A Levels,British,White,The North,13000.0,Yes
Male,30,Single,Degree,British,White,The North,13000.0,No
Female,44,Married,A Levels,English,White,The North,18200.0,No
Male,91,Widowed,No Qualification,English,White,The North,1300.0,No
Male,40,Divorced,GCSE/O Level,British,White,The North,18200.0,No
Female,63,Married,Degree,British,White,The North,3900.0,No
Female,61,Divorced,No Qualification,British,White,The North,3900.0,Yes
Female,40,Married,Higher/Sub Degree,English,White,The North,7800.0,No
Female,57,Married,No Qualification,British,White,The North,1300.0,Yes
Female,41,Married,Degree,British,White,The North,32500.0,No
Female,32,Single,No Qualification,English,White,The North,3900.0,Yes
Male,76,Married,No Qualification,English,White,The North,7800.0,No
Female,35,Divorced,GCSE/O Level,English,White,The North,13000.0,Yes
Male,70,Married,No Qualification,English,White,The North,7800.0,No
Female,75,Widowed,No Qualification,British,White,The North,7800.0,No
Female,74,Widowed,No Qualification,English,White,The North,3900.0,No
Male,49,Married,Degree,British,White,The North,18200.0,No
Female,56,Married,GCSE/O Level,British,White,The North,1300.0,No
Male,60,Married,Degree,English,White,The North,18200.0,No
Female,72,Widowed,No Qualification,English,White,The North,7800.0,No
Male,17,Single,GCSE/O Level,English,White,The North,7800.0,No
Female,23,Single,Degree,English,White,The North,24700.0,No
Male,79,Married,No Qualification,English,White,The North,7800.0,No
Female,65,Separated,No Qualification,British,White,The North,3900.0,No
Female,57,Married,Degree,English,White,The North,7800.0,No
Female,37,Married,GCSE/O Level,British,White,The North,18200.0,No
Male,79,Single,No Qualification,English,White,The North,7800.0,No
Female,71,Single,No Qualification,English,White,The North,3900.0,No
Female,87,Widowed,No Qualification,Refused,Refused,The North,0.0,No
Male,59,Married,Degree,English,White,The North,32500.0,Yes
Male,21,Single,ONC/BTEC,English,White,The North,13000.0,Yes
Female,66,Married,No Qualification,English,White,The North,1300.0,No
Male,58,Married,Higher/Sub Degree,Welsh,White,The North,32500.0,No
Male,38,Married,GCSE/O Level,English,White,The North,18200.0,Yes
Male,61,Widowed,Other/Sub Degree,Scottish,White,The North,18200.0,No
Male,37,Separated,Degree,English,White,The North,18200.0,No
Female,38,Married,GCSE/O Level,English,White,The North,7800.0,No
Male,34,Married,Degree,English,White,The North,32500.0,No
Female,34,Married,Higher/Sub Degree,British,White,The North,13000.0,No
Female,20,Single,GCSE/O Level,English,White,The North,3900.0,No
Female,77,Widowed,No Qualification,English,White,The North,7800.0,Yes
Female,31,Single,GCSE/O Level,English,White,The North,3900.0,Yes
Male,28,Single,No Qualification,English,White,The North,3900.0,Yes
Female,36,Married,GCSE/CSE,British,White,The North,7800.0,No
Female,16,Single,GCSE/O Level,British,White,The North,7800.0,Yes
Male,42,Married,GCSE/O Level,English,White,The North,7800.0,No
Female,47,Married,Higher/Sub Degree,English,White,The North,1300.0,No
Male,42,Married,GCSE/CSE,British,White,The North,32500.0,No
Female,67,Widowed,No Qualification,British,White,The North,3900.0,No
Female,72,Single,No Qualification,English,White,The North,7800.0,No
Male,40,Divorced,GCSE/O Level,English,White,The North,13000.0,Yes
Female,34,Single,Degree,English,White,The North,18200.0,No
Male,75,Married,No Qualification,English,White,The North,18200.0,No
Female,35,Married,GCSE/O Level,English,White,The North,7800.0,No
Female,40,Separated,No Qualification,British,White,The North,7800.0,Yes
Female,46,Married,No Qualification,British,White,The North,18200.0,No
Male,23,Married,GCSE/O Level,English,White,The North,18200.0,No
Male,42,Married,GCSE/O Level,British,White,The North,13000.0,No
Male,63,Married,No Qualification,English,White,The North,3900.0,No
Female,33,Married,A Levels,British,White,The North,7800.0,No
Female,31,Married,GCSE/O Level,English,White,The North,18200.0,No
Male,54,Single,No Qualification,English,White,The North,7800.0,No
Female,33,Single,ONC/BTEC,British,White,The North,18200.0,No
Female,24,Single,Degree,English,White,The North,18200.0,Yes
Female,80,Widowed,No Qualification,British,White,The North,7800.0,No
Female,77,Single,No Qualification,English,White,The North,3900.0,No
Male,51,Married,No Qualification,English,White,The North,13000.0,No
Male,16,Single,GCSE/O Level,English,White,The North,0.0,No
Male,27,Single,ONC/BTEC,English,White,The North,0.0,Yes
Female,75,Single,No Qualification,English,White,The North,3900.0,No
Female,24,Single,Degree,Other,White,The North,7800.0,No
Male,78,Widowed,No Qualification,English,White,The North,7800.0,Yes
Female,20,Single,GCSE/O Level,British,White,The North,7800.0,No
Male,18,Single,GCSE/CSE,English,White,The North,7800.0,No
Female,25,Separated,ONC/BTEC,English,White,The North,13000.0,No
Female,55,Separated,No Qualification,English,Mixed,The North,7800.0,Yes
Female,29,Married,Higher/Sub Degree,English,White,The North,13000.0,Yes
Female,67,Divorced,No Qualification,English,White,The North,7800.0,No
Female,79,Widowed,No Qualification,English,White,The North,7800.0,No
Male,44,Single,No Qualification,British,White,The North,24700.0,No
Male,47,Married,Degree,British,White,The North,24700.0,No
Female,41,Divorced,GCSE/O Level,British,White,The North,13000.0,No
Female,31,Married,GCSE/O Level,British,White,The North,13000.0,Yes
Male,32,Married,Other/Sub Degree,Scottish,White,The North,13000.0,No
Female,68,Widowed,No Qualification,English,White,The North,0.0,No
Female,84,Widowed,No Qualification,British,White,The North,1300.0,No
Male,67,Married,No Qualification,English,White,The North,13000.0,No
Male,49,Married,No Qualification,British,White,The North,13000.0,No
Male,69,Married,No Qualification,English,White,The North,7800.0,Yes
Male,64,Married,Higher/Sub Degree,English,White,The North,32500.0,Yes
Male,62,Married,No Qualification,English,White,The North,24700.0,No
Male,52,Divorced,No Qualification,British,White,The North,7800.0,No
Male,45,Married,ONC/BTEC,English,White,The North,32500.0,No
Female,28,Divorced,No Qualification,English,White,The North,13000.0,Yes
Female,36,Single,GCSE/O Level,English,White,The North,13000.0,No
Female,73,Divorced,No Qualification,English,White,The North,7800.0,No
Male,48,Widowed,No Qualification,English,White,The North,13000.0,No
Male,67,Widowed,No Qualification,British,White,The North,13000.0,Yes
Female,38,Divorced,GCSE/O Level,British,White,The North,24700.0,No
Female,40,Divorced,GCSE/CSE,English,White,The North,13000.0,Yes
Male,43,Single,Other/Sub Degree,British,White,The North,18200.0,No
Female,30,Single,Degree,English,White,The North,13000.0,No
Female,70,Widowed,No Qualification,British,White,The North,7800.0,No
Female,82,Widowed,No Qualification,British,White,The North,7800.0,No
Female,78,Widowed,No Qualification,English,White,The North,7800.0,No
Male,21,Single,GCSE/O Level,English,White,The North,1300.0,Yes
Male,67,Widowed,No Qualification,English,White,The North,18200.0,No
Male,16,Single,GCSE/O Level,English,White,The North,0.0,No
Female,21,Single,GCSE/CSE,English,White,The North,7800.0,Yes
Male,68,Separated,No Qualification,English,White,The North,7800.0,Yes
Male,41,Married,No Qualification,British,White,The North,3900.0,Yes
Male,33,Single,GCSE/O Level,British,White,The North,18200.0,No
Female,28,Married,No Qualification,British,White,The North,1300.0,No
Female,75,Married,No Qualification,British,White,The North,3900.0,Yes
Female,21,Single,Other/Sub Degree,English,White,The North,7800.0,Yes
Female,69,Divorced,GCSE/CSE,English,White,The North,3900.0,No
Female,38,Married,GCSE/O Level,English,White,The North,7800.0,No
Female,33,Single,GCSE/O Level,English,White,The North,7800.0,Yes
Female,47,Married,No Qualification,English,White,The North,7800.0,No
Female,44,Single,GCSE/CSE,English,White,The North,3900.0,Yes
Female,74,Married,No Qualification,English,White,The North,1300.0,No
Female,29,Married,GCSE/O Level,English,White,The North,1300.0,No
Female,23,Married,A Levels,Other,Asian,The North,1300.0,No
Female,72,Widowed,No Qualification,English,White,The North,3900.0,No
Female,31,Widowed,No Qualification,English,Asian,The North,7800.0,Yes
Female,48,Married,No Qualification,British,Asian,The North,1300.0,No
Female,29,Married,GCSE/O Level,English,White,The North,7800.0,No
Male,72,Married,Other/Sub Degree,English,Black,The North,7800.0,No
Female,52,Married,No Qualification,English,White,The North,0.0,No
Female,68,Single,Degree,English,White,The North,7800.0,No
Male,48,Married,Other/Sub Degree,British,Chinese,The North,18200.0,Yes
Female,55,Married,GCSE/O Level,English,White,The North,13000.0,No
Female,23,Married,ONC/BTEC,British,White,The North,13000.0,Yes
Female,66,Widowed,No Qualification,British,White,The North,3900.0,No
Female,33,Single,ONC/BTEC,British,White,The North,18200.0,No
Female,37,Married,GCSE/CSE,British,White,The North,1300.0,Yes
Male,42,Married,Degree,English,White,The North,24700.0,No
Female,46,Married,No Qualification,British,White,The North,13000.0,Yes
Male,57,Married,Other/Sub Degree,English,White,The North,32500.0,No
Female,36,Married,GCSE/O Level,English,White,The North,1300.0,No
Female,51,Married,GCSE/O Level,Scottish,White,The North,24700.0,No
Female,18,Single,GCSE/O Level,British,White,The North,0.0,Yes
Female,69,Married,GCSE/O Level,English,White,The North,1300.0,No
Male,30,Single,Degree,English,White,The North,18200.0,No
Male,51,Married,Higher/Sub Degree,English,White,The North,32500.0,No
Female,63,Married,No Qualification,British,Asian,The North,7800.0,No
Female,31,Single,Degree,English,White,The North,32500.0,No
Male,58,Single,No Qualification,British,White,The North,13000.0,No
Male,50,Married,GCSE/CSE,English,White,The North,24700.0,Yes
Female,67,Divorced,No Qualification,English,White,The North,3900.0,Yes
Male,20,Single,A Levels,English,White,The North,0.0,No
Female,45,Single,Degree,British,White,The North,18200.0,No
Female,26,Married,GCSE/O Level,English,White,The North,7800.0,No
Male,30,Single,Degree,British,White,The North,32500.0,No
Female,43,Married,Degree,Other,White,The North,0.0,No
Male,73,Widowed,Other/Sub Degree,English,White,The North,3900.0,No
Female,52,Married,Higher/Sub Degree,British,White,The North,1300.0,No
Male,18,Single,No Qualification,British,White,The North,13000.0,Yes
Male,52,Married,No Qualification,English,White,The North,32500.0,No
Male,33,Divorced,GCSE/O Level,English,White,The North,18200.0,No
Female,56,Divorced,GCSE/O Level,English,White,The North,18200.0,No
Female,65,Married,No Qualification,English,White,The North,3900.0,No
Female,30,Single,No Qualification,British,White,The North,3900.0,No
Female,40,Married,No Qualification,British,White,The North,7800.0,Yes
Female,26,Single,GCSE/CSE,English,White,The North,7800.0,Yes
Male,74,Single,No Qualification,Refused,Refused,The North,0.0,No
Female,44,Married,Degree,Welsh,White,The North,32500.0,No
Female,80,Widowed,No Qualification,British,White,The North,3900.0,No
Female,67,Married,No Qualification,English,White,The North,1300.0,No
Female,59,Married,No Qualification,British,White,The North,0.0,No
Female,28,Single,Higher/Sub Degree,English,White,The North,7800.0,Yes
Female,31,Married,ONC/BTEC,British,White,The North,18200.0,No
Male,25,Single,GCSE/CSE,English,White,The North,18200.0,No
Female,64,Married,No Qualification,English,White,The North,1300.0,No
Male,68,Married,Other/Sub Degree,English,White,The North,3900.0,No
Female,61,Widowed,No Qualification,English,White,The North,7800.0,No
Female,50,Divorced,No Qualification,English,White,The North,13000.0,No
Male,43,Married,Higher/Sub Degree,British,Chinese,The North,18200.0,No
Female,19,Single,No Qualification,Other,Asian,The North,1300.0,No
Female,21,Married,GCSE/O Level,Other,Asian,The North,1300.0,No
Male,51,Divorced,Degree,English,White,The North,3900.0,No
Male,65,Single,Other/Sub Degree,British,White,The North,7800.0,No
Female,50,Separated,No Qualification,Other,Asian,The North,3900.0,No
Female,38,Single,Other/Sub Degree,English,White,The North,3900.0,No
Female,78,Widowed,No Qualification,English,White,The North,7800.0,No
Male,74,Widowed,No Qualification,Other,Asian,The North,3900.0,No
Female,22,Single,Degree,Other,Asian,The North,3900.0,No
Male,66,Married,No Qualification,British,White,The North,7800.0,No
Female,48,Single,No Qualification,English,White,The North,3900.0,No
Female,59,Married,No Qualification,English,White,The North,7800.0,No
Female,69,Widowed,No Qualification,English,White,The North,0.0,No
Female,76,Widowed,No Qualification,British,White,The North,7800.0,Yes
Female,21,Single,ONC/BTEC,British,White,The North,3900.0,No
Female,47,Married,GCSE/O Level,British,White,The North,13000.0,No
Female,77,Widowed,No Qualification,British,White,The North,3900.0,No
Female,25,Single,GCSE/O Level,English,White,The North,13000.0,Yes
Female,71,Widowed,No Qualification,English,White,The North,3900.0,No
Female,24,Single,GCSE/O Level,British,White,The North,3900.0,Yes
Female,90,Widowed,No Qualification,English,White,The North,3900.0,No
Female,41,Divorced,GCSE/O Level,British,White,The North,7800.0,Yes
Female,69,Married,No Qualification,English,White,The North,1300.0,No
Female,35,Married,GCSE/O Level,British,White,The North,18200.0,No
Female,32,Single,No Qualification,English,White,The North,7800.0,Yes
Female,48,Single,GCSE/O Level,British,White,The North,18200.0,No
Female,34,Married,No Qualification,English,White,The North,3900.0,No
Female,28,Married,GCSE/O Level,English,White,The North,7800.0,Yes
Male,66,Married,No Qualification,English,White,The North,0.0,No
Male,56,Married,GCSE/CSE,English,White,The North,24700.0,No
Male,51,Married,Other/Sub Degree,British,White,The North,13000.0,No
Female,63,Married,No Qualification,British,White,The North,3900.0,No
Male,44,Married,Degree,English,White,The North,32500.0,No
Female,45,Married,Higher/Sub Degree,British,White,The North,13000.0,No
Male,55,Married,No Qualification,British,White,The North,13000.0,Yes
Female,55,Married,No Qualification,English,White,The North,7800.0,No
Female,55,Married,A Levels,Scottish,White,The North,0.0,No
Female,57,Married,GCSE/O Level,British,White,The North,3900.0,No
Male,76,Married,A Levels,Scottish,White,The North,7800.0,No
Female,59,Married,No Qualification,British,White,The North,7800.0,No
Female,46,Married,No Qualification,British,White,The North,7800.0,No
Female,56,Married,No Qualification,British,White,The North,1300.0,No
Male,67,Married,No Qualification,British,White,The North,7800.0,No
Female,73,Single,Other/Sub Degree,English,White,The North,13000.0,No
Female,82,Widowed,No Qualification,English,White,The North,0.0,No
Male,75,Married,ONC/BTEC,English,White,The North,0.0,No
Female,41,Married,Other/Sub Degree,English,White,The North,7800.0,No
Female,40,Married,A Levels,British,White,The North,18200.0,No
Male,37,Married,GCSE/O Level,English,White,The North,18200.0,No
Male,53,Married,ONC/BTEC,English,White,The North,24700.0,No
Female,35,Married,No Qualification,English,White,The North,7800.0,No
Female,39,Married,GCSE/O Level,English,White,The North,24700.0,No
Female,31,Separated,Other/Sub Degree,English,White,The North,3900.0,No
Male,38,Married,ONC/BTEC,British,White,The North,18200.0,No
Female,34,Divorced,GCSE/O Level,British,White,The North,13000.0,Yes
Female,36,Married,A Levels,English,White,The North,13000.0,Yes
Male,31,Single,Degree,English,White,The North,24700.0,No
Female,31,Single,GCSE/CSE,British,White,The North,1300.0,Yes
Male,35,Married,Degree,English,White,The North,24700.0,No
Male,42,Married,No Qualification,British,White,The North,24700.0,No
Male,30,Single,GCSE/CSE,English,White,The North,18200.0,No
Female,39,Divorced,GCSE/O Level,British,White,The North,13000.0,No
Female,47,Married,GCSE/O Level,Scottish,White,The North,13000.0,No
Male,38,Married,Higher/Sub Degree,English,White,The North,24700.0,No
Female,29,Divorced,A Levels,English,White,The North,18200.0,No
Male,75,Widowed,No Qualification,British,White,The North,7800.0,No
Female,47,Married,Higher/Sub Degree,British,White,The North,0.0,No
Male,55,Married,No Qualification,English,White,The North,18200.0,No
Male,42,Married,Higher/Sub Degree,Other,White,The North,18200.0,No
Female,39,Married,Degree,English,White,The North,18200.0,No
Male,64,Married,GCSE/O Level,English,White,The North,7800.0,No
Female,84,Widowed,No Qualification,English,White,The North,3900.0,No
Female,49,Married,Higher/Sub Degree,British,White,The North,7800.0,No
Male,24,Single,Higher/Sub Degree,English,White,The North,13000.0,No
Male,38,Single,GCSE/O Level,Scottish,White,The North,13000.0,Yes
Female,45,Married,Degree,Other,White,The North,18200.0,No
Female,47,Divorced,GCSE/O Level,British,White,The North,7800.0,No
Male,37,Divorced,Higher/Sub Degree,English,White,The North,32500.0,No
Male,59,Married,Higher/Sub Degree,English,White,The North,7800.0,No
Male,25,Single,Degree,Other,White,The North,32500.0,No
Male,56,Married,No Qualification,English,White,The North,18200.0,No
Female,71,Divorced,GCSE/CSE,British,White,The North,3900.0,No
Male,81,Widowed,Higher/Sub Degree,English,White,The North,13000.0,No
Male,55,Married,A Levels,English,White,Midlands & East Anglia,18200.0,No
Male,42,Married,GCSE/CSE,English,White,Midlands & East Anglia,18200.0,No
Male,73,Married,No Qualification,English,White,Midlands & East Anglia,3900.0,No
Male,43,Married,A Levels,English,White,Midlands & East Anglia,32500.0,No
Female,57,Divorced,No Qualification,English,White,Midlands & East Anglia,13000.0,Yes
Female,47,Married,Degree,English,White,Midlands & East Anglia,18200.0,No
Female,29,Married,No Qualification,English,White,Midlands & East Anglia,13000.0,Yes
Female,30,Widowed,GCSE/CSE,British,White,Midlands & East Anglia,13000.0,No
Male,58,Married,No Qualification,English,White,Midlands & East Anglia,18200.0,Yes
Female,58,Married,Degree,English,White,Midlands & East Anglia,32500.0,No
Male,70,Widowed,No Qualification,British,White,Midlands & East Anglia,7800.0,No
Male,18,Single,A Levels,British,White,Midlands & East Anglia,0.0,No
Female,45,Single,No Qualification,British,White,Midlands & East Anglia,3900.0,No
Male,37,Single,GCSE/O Level,English,White,Midlands & East Anglia,18200.0,Yes
Female,44,Separated,GCSE/O Level,British,White,Midlands & East Anglia,13000.0,No
Male,46,Married,Degree,British,White,Midlands & East Anglia,18200.0,No
Male,29,Married,Degree,British,White,Midlands & East Anglia,24700.0,No
Male,50,Married,GCSE/O Level,English,White,Midlands & East Anglia,18200.0,No
Female,51,Married,No Qualification,British,White,Midlands & East Anglia,3900.0,No
Male,80,Widowed,No Qualification,English,White,Midlands & East Anglia,7800.0,No
Female,85,Married,A Levels,English,White,Midlands & East Anglia,7800.0,No
Female,49,Married,No Qualification,British,White,Midlands & East Anglia,1300.0,No
Male,52,Married,No Qualification,British,White,Midlands & East Anglia,24700.0,No
Female,58,Married,No Qualification,English,White,Midlands & East Anglia,7800.0,No
Female,49,Married,Degree,British,White,Midlands & East Anglia,3900.0,No
Male,39,Single,Degree,British,White,Midlands & East Anglia,32500.0,No
Female,53,Married,Degree,British,White,Midlands & East Anglia,7800.0,Yes
